Date Recorded,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Longitude,Latitude
2021-07-19,2020,Burlington,206 COVEY RD,286860.0,540000.0,0.5312,Residential,Single Family,-72.97635,41.79258
2021-05-27,2020,Canton,558 CHERRY BROOK ROAD,125390.0,128000.0,0.9796,Residential,Single Family,Unknown,Unknown
2021-08-20,2020,Cheshire,249 REDWOOD LANE,202590.0,425000.0,0.4766,Residential,Single Family,Unknown,Unknown
2021-01-29,2020,Colchester,133 BRAINARD RD,139200.0,292500.0,0.4758,Residential,Single Family,Unknown,Unknown
2021-04-26,2020,Colchester,OLD AMSTON RD,55000.0,250000.0,0.22,Vacant Land,Unknown,Unknown,Unknown
2020-10-02,2020,Colchester,LOT #11 RESERVOIR RD,44000.0,85000.0,0.5176,Vacant Land,Unknown,Unknown,Unknown
2021-03-04,2020,Coventry,SQUIRREL TR,35600.0,42750.0,0.8327,Vacant Land,Unknown,Unknown,Unknown
2021-04-29,2020,Coventry,157 STONEHOUSE RD,83400.0,65000.0,1.283,Residential,Single Family,Unknown,Unknown
2021-07-15,2020,Coventry,1467 SOUTH ST,359800.0,480000.0,0.7495,Commercial,Unknown,Unknown,Unknown
2021-01-14,2020,Cromwell,25 MIDWAY DR,128200.0,208000.0,0.6163,Residential,Condo,Unknown,Unknown
2020-12-14,2020,Cromwell,11 MYSTIQUE LANE,210350.0,322000.0,0.6532,Residential,Condo,Unknown,Unknown
2021-01-13,2020,Danbury,27 CROWS NEST LA 6A,110300.0,195000.0,0.5656,Residential,Condo,Unknown,Unknown
2021-05-10,2020,Danbury,51 OLD BOSTON POST RD,191600.0,394000.0,0.4862,Residential,Single Family,Unknown,Unknown
2021-08-24,2020,Danbury,305 LARSON DR,188600.0,360000.0,0.5238,Residential,Condo,Unknown,Unknown
2020-10-20,2020,Danbury,15 SCUPPO RD 803,161400.0,270000.0,0.5977,Residential,Condo,Unknown,Unknown
2020-11-24,2020,Danbury,18 KING ST,203400.0,309000.0,0.6582,Residential,Single Family,Unknown,Unknown
2020-12-21,2020,Danbury,3 DANA RD,61300.0,90000.0,0.6811,Vacant Land,Unknown,Unknown,Unknown
2021-02-03,2020,Darien,14 GIDEON LANE,114170.0,184499.0,0.6188,Residential,Condo,Unknown,Unknown
2021-03-17,2020,Darien,12 SUNNYSIDE AVE,602980.0,650000.0,0.9276,Residential,Single Family,Unknown,Unknown
2020-11-16,2020,Darien,16 OAKSHADE AVE,746220.0,1140000.0,0.6545,Residential,Single Family,Unknown,Unknown
2021-03-30,2020,Derby,196 ELIZABETH ST,351260.0,873000.0,0.4023,Commercial,Unknown,Unknown,Unknown
2021-07-14,2020,East Granby,6 SCHOOLHOUSE LANDING,211100.0,373500.0,0.5651,Residential,Condo,Unknown,Unknown
2020-12-30,2020,East Granby,17 BONNIEVIEW DRIVE,148200.0,260000.0,0.57,Residential,Single Family,Unknown,Unknown
2021-05-10,2020,East Haddam,96 LONGWOOD DR,83020.0,175000.0,0.4744,Residential,Single Family,-72.33294,41.51729
2021-09-29,2020,East Haddam,162 NORWICH SALEM RD,219810.0,439900.0,0.4996,Residential,Single Family,Unknown,Unknown
2021-03-19,2020,East Hartford,9 ROSE ST,90680.0,95001.0,0.9545,Residential,Single Family,Unknown,Unknown
2021-04-19,2020,East Hartford,37 PENDLETON DR,113530.0,225000.0,0.5045,Residential,Single Family,Unknown,Unknown
2021-06-24,2020,East Hartford,257 PROSPECT ST,83850.0,128000.0,0.655,Residential,Single Family,Unknown,Unknown
2021-08-04,2020,East Hartford,31 MARGERY DR,107390.0,260000.0,0.413,Residential,Single Family,Unknown,Unknown
2021-09-14,2020,East Hartford,2 LAFAYETTE AVE,87380.0,235000.0,0.3718,Residential,Single Family,Unknown,Unknown
2020-10-16,2020,East Hartford,54 OLMSTED ST,91210.0,160000.0,0.57,Residential,Single Family,Unknown,Unknown
2020-12-02,2020,East Hartford,101 LAUREL ST,135990.0,215000.0,0.6325,Residential,Two Family,Unknown,Unknown
2021-01-04,2020,East Haven,116 PLEASANT AVE,149030.0,360500.0,0.4133,Residential,Single Family,Unknown,Unknown
2021-04-05,2020,East Haven,75 REDWOOD DR #704,89580.0,165000.0,0.5429,Residential,Condo,-72.84836,41.32761
2021-04-13,2020,East Haven,19 FARVIEW AVE,146250.0,291000.0,0.5025,Residential,Single Family,Unknown,Unknown
2021-05-13,2020,East Haven,15 ELM CT,108350.0,247000.0,0.4386,Residential,Single Family,Unknown,Unknown
2020-12-07,2020,East Haven,6 WHEATON RD,160060.0,275000.0,0.582,Residential,Single Family,Unknown,Unknown
2021-01-12,2020,East Lyme,38 GURLEY RD,159460.0,243000.0,0.6562,Residential,Two Family,Unknown,Unknown
2021-05-18,2020,East Lyme,77 LOVERS LN,86100.0,124000.0,0.6943,Vacant Land,Unknown,Unknown,Unknown
2021-09-29,2020,East Lyme,8 WINTHROP DR,219100.0,475000.0,0.4612,Residential,Single Family,Unknown,Unknown
2021-01-29,2020,Easton,95 ROCK HOUSE ROAD,275960.0,370000.0,0.7458,Residential,Single Family,Unknown,Unknown
2021-04-13,2020,East Windsor,12A PASCO DR,108920.0,144000.0,0.7563,Commercial,Unknown,Unknown,Unknown
2020-10-20,2020,East Windsor,131 DEPOT ST,34730.0,290000.0,0.1197,Vacant Land,Unknown,Unknown,Unknown
2021-04-28,2020,Enfield,38 RAFFIA RD,107210.0,205000.0,0.5229,Residential,Single Family,Unknown,Unknown
2021-05-27,2020,Enfield,51 DARTMOOR,180480.0,330000.0,0.5469,Residential,Condo,Unknown,Unknown
2021-07-27,2020,Enfield,1 VERNON RD,116790.0,252000.0,0.4634,Residential,Single Family,Unknown,Unknown
2021-09-24,2020,Enfield,HAMLET B03UF,88610.0,189900.0,0.4666,Residential,Condo,Unknown,Unknown
2020-11-09,2020,Enfield,197 BRAINARD RD,111550.0,206000.0,0.5415,Residential,Single Family,Unknown,Unknown
2021-01-12,2020,Essex,34 PRATT #A,623900.0,650000.0,0.9598,Residential,Condo,Unknown,Unknown
2021-05-11,2020,Essex,17 PARTRIDGE LN,246800.0,575000.0,0.4292,Residential,Single Family,Unknown,Unknown
2021-07-15,2020,Essex,13 WALNUT ST,197500.0,400000.0,0.4937,Residential,Single Family,Unknown,Unknown
2020-11-30,2020,Farmington,11 WHITEHALL PLACE,491890.0,765000.0,0.6429,Residential,Single Family,Unknown,Unknown
2021-04-08,2020,Franklin,55 TOWNLINE BLVD,48280.0,69000.0,0.699710145,Vacant Land,Unknown,Unknown,Unknown
2021-04-08,2020,Glastonbury,63 FOX DEN RD,247000.0,399000.0,0.619,Residential,Single Family,Unknown,Unknown
2021-07-26,2020,Glastonbury,42 BELL ST,161300.0,315000.0,0.512,Residential,Single Family,Unknown,Unknown
2021-09-07,2020,Glastonbury,87 BENTON LN,172800.0,345000.0,0.5008,Residential,Single Family,Unknown,Unknown
2020-11-18,2020,Glastonbury,1326 HEBRON AVE,58500.0,72500.0,0.8068,Vacant Land,Unknown,Unknown,Unknown
2021-06-07,2020,Goshen,44 ROCKWALL COURT,322150.0,628000.0,0.5129,Residential,Single Family,Unknown,Unknown
2021-07-13,2020,Granby,15 WINDMILL DR,112350.0,199000.0,0.5645,Residential,Condo,Unknown,Unknown
2021-09-20,2020,Granby,30 FIRETOWN RD,154210.0,315000.0,0.4895,Public Utility,Unknown,Unknown,Unknown
2021-02-16,2020,Greenwich,2350000,1964480.0,2350000.0,0.8359,Residential,Single Family,Unknown,Unknown
2021-03-05,2020,Greenwich,10 NIMITZ PLACE,548800.0,870000.0,0.6308,Residential,Single Family,Unknown,Unknown
2021-04-22,2020,Greenwich,188 BIBLE STREET,737590.0,1364000.0,0.5407,Residential,Single Family,-73.59662,41.05717
2021-09-09,2020,Greenwich,15 SHOAL POINT ROAD,2623950.0,3900000.0,0.6728,Residential,Single Family,Unknown,Unknown
2020-12-18,2020,Greenwich,328 LAKE AVENUE,1908690.0,2850000.0,0.6697,Residential,Single Family,Unknown,Unknown
2020-12-09,2020,Greenwich,9 WEST END AVE,1329090.0,1920000.0,0.6922,Residential,Single Family,Unknown,Unknown
2021-04-01,2020,Griswold,80 QUINEBAUG CAMP RD,43610.0,60000.0,0.7268,Vacant Land,Unknown,Unknown,Unknown
2021-05-10,2020,Griswold,94 PLEASANT VIEW,35980.0,36000.0,0.9994,Vacant Land,Unknown,Unknown,Unknown
2021-06-21,2020,Griswold,33 RUSSEL STREET UNIT 10,47180.0,123800.0,0.381098546,Residential,Condo,Unknown,Unknown
2021-06-22,2020,Groton,0 GOLD STAR HWY,7000.0,10000.0,0.7,Vacant Land,Unknown,Unknown,Unknown
2021-07-07,2020,Groton,7 FOREST AVE,166040.0,330000.0,0.5031,Residential,Single Family,-72.00456,41.38926
2021-08-11,2020,Groton,18 BERN CT,110810.0,260000.0,0.426192308,Residential,Single Family,Unknown,Unknown
2021-09-27,2020,Groton,84 BEACH POND RD,297360.0,670000.0,0.4438,Residential,Single Family,Unknown,Unknown
2020-10-19,2020,Groton,48 CREST DR,123410.0,260000.0,0.474653846,Residential,Single Family,Unknown,Unknown
2020-12-11,2020,Groton,31 THAMES HEIGHT LN,109340.0,160000.0,0.6833,Residential,Condo,Unknown,Unknown
2020-10-29,2020,Guilford,45 ROUND HILL RD,186910.0,252000.0,0.7417,Residential,Single Family,Unknown,Unknown
2021-02-17,2020,Hartford,25 CHARTER OAK AVE,189770.0,245000.0,0.7745,Commercial,Unknown,Unknown,Unknown
2021-05-28,2020,Hartford,241 WESTLAND ST,120680.0,240000.0,0.5028,Apartments,Unknown,-72.68296,41.79166
2021-07-29,2020,Hartford,30 ASHLEY ST,107530.0,350000.0,0.3072,Residential,Two Family,Unknown,Unknown
2021-08-20,2020,Hartford,255 MARTIN ST,6230.0,16500.0,0.3775,Vacant Land,Unknown,Unknown,Unknown
2021-05-10,2020,Harwinton,42 FOX HUNT WAY,70990.0,110000.0,0.6453,Vacant Land,Unknown,Unknown,Unknown
2021-03-11,2020,Killingly,62 ATHOL ST,55860.0,102000.0,0.5476,Residential,Condo,Unknown,Unknown
2020-12-11,2020,Killingly,106 MAIN ST,64400.0,66900.0,0.9626,Commercial,Unknown,Unknown,Unknown
2020-12-09,2020,Killingworth,46 TITUS COAN ROAD,354040.0,645000.0,0.5488,Residential,Single Family,Unknown,Unknown
2021-02-18,2020,Lebanon,54 FIRST ST,121510.0,229900.0,0.5285,Residential,Single Family,Unknown,Unknown
2020-10-05,2020,Lisbon,24 BLISSVILLE RD,127230.0,190000.0,0.6696,Residential,Single Family,Unknown,Unknown
2020-10-05,2020,Litchfield,577 MAPLE ST,207690.0,345000.0,0.602,Residential,Single Family,Unknown,Unknown
2020-11-16,2020,Litchfield,68 BEACH ST,149570.0,200000.0,0.7478,Residential,Two Family,Unknown,Unknown
2021-02-25,2020,Madison,34 FAIRVIEW AVE,1298800.0,2175000.0,0.5971,Residential,Single Family,Unknown,Unknown
2021-04-05,2020,Madison,32 JEFFERSON PARK RD,257800.0,475000.0,0.5427,Residential,Single Family,Unknown,Unknown
2021-09-08,2020,Madison,2162 DURHAM RD,260200.0,501000.0,0.5193,Residential,Single Family,Unknown,Unknown
2021-01-19,2020,Manchester,63 PITKIN STREET,124900.0,249900.0,0.4997,Residential,Single Family,Unknown,Unknown
2021-08-04,2020,Manchester,151 MAPLE STREET,92900.0,165000.0,0.563,Residential,Single Family,Unknown,Unknown
2021-09-03,2020,Manchester,236 WEST CENTER STREET,103300.0,210000.0,0.4919,Residential,Single Family,Unknown,Unknown
2020-10-07,2020,Manchester,53 NORTH STREET,173900.0,250000.0,0.6956,Residential,Four Family,Unknown,Unknown
2021-03-02,2020,Mansfield,42 SAWMILL BROOK RD,279000.0,435000.0,0.6413,Residential,Single Family,Unknown,Unknown
2021-06-25,2020,Mansfield,5 MOUNTAIN RD,145300.0,250000.0,0.5812,Residential,Single Family,Unknown,Unknown
2021-08-26,2020,Mansfield,40 OLD KENT RD,155900.0,284400.0,0.5481,Residential,Single Family,Unknown,Unknown
2020-12-21,2020,Mansfield,23 PHILIP DR,194900.0,307000.0,0.6348,Residential,Single Family,Unknown,Unknown
2021-03-15,2020,Meriden,302 EAST MAIN ST,111090.0,150000.0,0.7406,Commercial,Unknown,Unknown,Unknown
2021-05-17,2020,Meriden,69 LINSLEY AVE,165830.0,325000.0,0.5102,Apartments,Unknown,Unknown,Unknown
2021-07-01,2020,Meriden,52 ROYAL OAK CIR,130340.0,305000.0,0.4273,Residential,Single Family,Unknown,Unknown
2021-07-16,2020,Meriden,209 BLACKSTONE VLG,37240.0,114900.0,0.3241,Residential,Condo,Unknown,Unknown
2021-08-16,2020,Meriden,30 LA MIRAGE,74060.0,145000.0,0.5107,Residential,Condo,Unknown,Unknown
2021-08-26,2020,Meriden,6006 MEETINGHOUSE VLG,59430.0,135000.0,0.4402,Residential,Condo,Unknown,Unknown
2021-06-09,2020,Middlebury,289 BURR HALL RD,1144200.0,1676250.0,0.682595078,Residential,Single Family,Unknown,Unknown
2021-04-05,2020,Middletown,87 WESTWOOD LA,285040.0,400000.0,0.7126,Residential,Single Family,Unknown,Unknown
2021-07-29,2020,Middletown,PHEDON PKWY,49220.0,100000.0,0.4922,Vacant Land,Unknown,Unknown,Unknown
2020-11-02,2020,Middletown,1692 BARTHOLOMEW RD,170650.0,325000.0,0.525,Residential,Single Family,Unknown,Unknown
2020-12-01,2020,Middletown,23 WILLOW AVE,106640.0,162900.0,0.6546,Residential,Single Family,Unknown,Unknown
2021-09-13,2020,Milford,104 WATERBURY AVE,206390.0,500000.0,0.4127,Vacant Land,Unknown,Unknown,Unknown
2020-12-07,2020,Milford,51 CARRIAGE DR,87590.0,170000.0,0.5152,Residential,Condo,Unknown,Unknown
2021-06-22,2020,Milford,95 FOREST RD,165000.0,300000.0,0.55,Residential,Condo,Unknown,Unknown
2021-02-19,2020,Monroe,22 FIELD ROCK RD,325100.0,500000.0,0.6502,Residential,Single Family,Unknown,Unknown
2020-10-01,2020,Monroe,169 MONROE TPKE,667500.0,1093500.0,0.6104,Commercial,Unknown,Unknown,Unknown
2021-04-12,2020,Montville,1691 ROUTE 32 UNIT E6,84600.0,130000.0,0.6507,Residential,Condo,Unknown,Unknown
2020-10-14,2020,Montville,45 OAK HILL RD,129810.0,240000.0,0.5408,Residential,Single Family,Unknown,Unknown
2021-03-26,2020,Naugatuck,191 GORMAN ST,135520.0,255000.0,0.5314,Residential,Single Family,Unknown,Unknown
2021-05-18,2020,Naugatuck,33 FAIRCHILD ST,98900.0,184500.0,0.536,Residential,Single Family,Unknown,Unknown
2021-06-21,2020,Naugatuck,255 PARK AVE,126630.0,301000.0,0.420697674,Residential,Single Family,Unknown,Unknown
2021-01-04,2020,New Britain,13 LASALLE ST,63630.0,65000.0,0.9789,Residential,Single Family,Unknown,Unknown
2021-03-31,2020,New Britain,190 WYNOLA AVE,117670.0,270000.0,0.4358,Residential,Two Family,Unknown,Unknown
2021-07-12,2020,New Britain,36-E NORTH MOUNTAIN RD,63560.0,135000.0,0.4708,Residential,Condo,Unknown,Unknown
2021-07-20,2020,New Britain,203 FAIRWAY DR,104370.0,160000.0,0.6523,Residential,Single Family,Unknown,Unknown
2020-10-15,2020,New Britain,320 LEWIS RD,127610.0,182500.0,0.6992,Residential,Condo,Unknown,Unknown
2020-10-16,2020,New Britain,270 HIGH ST,174580.0,305000.0,0.5723,Apartments,Unknown,Unknown,Unknown
2021-04-07,2020,New Canaan,43 JENNIFER LA,978670.0,1700000.0,0.5756,Residential,Single Family,Unknown,Unknown
2020-12-30,2020,New Canaan,134 MARSHALL RIDGE RD,705110.0,1410000.0,0.5,Residential,Single Family,Unknown,Unknown
2021-04-15,2020,New Fairfield,10 HILLTOP,187500.0,395000.0,0.4746,Residential,Single Family,Unknown,Unknown
2021-01-14,2020,New Haven,50 ANITA ST,156170.0,250000.0,0.6246,Residential,Single Family,Unknown,Unknown
2021-03-23,2020,New Haven,WEYBOSSET ST,27300.0,50000.0,0.546,Vacant Land,Unknown,Unknown,Unknown
2021-04-19,2020,New Haven,26 LYON ST,185360.0,360000.0,0.5148,Residential,Three Family,Unknown,Unknown
2021-06-07,2020,New Haven,97 HARBOUR CLOSE,116410.0,230000.0,0.5061,Residential,Condo,Unknown,Unknown
2021-06-22,2020,New Haven,38 SPERRY ST,109900.0,160000.0,0.6868,Commercial,Unknown,Unknown,Unknown
2020-12-07,2020,New Haven,225 QUINNIPIAC AV,103320.0,280000.0,0.369,Residential,Two Family,Unknown,Unknown
2020-12-11,2020,New Haven,140 EVERIT ST,480620.0,685000.0,0.7016,Residential,Single Family,Unknown,Unknown
2021-09-20,2020,New London,184 PEQUOT AVE UNIT 103,103250.0,159900.0,0.6457,Residential,Condo,Unknown,Unknown
2020-12-03,2020,New London,958-960 BANK ST,1385860.0,4800000.0,0.2887,Commercial,Unknown,Unknown,Unknown
2021-07-30,2020,Newtown,9 ALPINE CIRCLE,140570.0,300000.0,0.4685,Residential,Single Family,Unknown,Unknown
2021-08-09,2020,Newtown,113 MT. PLEASANT ROAD,9210.0,21000.0,0.4385,Vacant Land,Unknown,Unknown,Unknown
2021-08-30,2020,Newtown,157 HANOVER ROAD,325640.0,508000.0,0.641,Residential,Single Family,Unknown,Unknown
2020-10-27,2020,Newtown,17 NARRAGANSSET TRAIL,249860.0,463000.0,0.5396,Residential,Single Family,Unknown,Unknown
2020-11-18,2020,Newtown,1 WATKINS DRIVE,232200.0,350000.0,0.6634,Residential,Condo,Unknown,Unknown
2021-01-14,2020,North Canaan,COLLEGE HILL RD,37590.0,38000.0,0.9892,Vacant Land,Unknown,Unknown,Unknown
2021-02-02,2020,North Haven,20 CLOUDLAND RD,178070.0,245000.0,0.7268,Residential,Single Family,Unknown,Unknown
2020-12-01,2020,North Haven,26 NETTLETON AVE,135740.0,203000.0,0.6686,Residential,Single Family,Unknown,Unknown
2021-03-17,2020,Norwalk,169 EAST AVE,349212.0,445000.0,0.7847,Commercial,Unknown,Unknown,Unknown
2021-04-21,2020,Norwalk,2 TERRY LN UNIT 2,168670.0,295000.0,0.5717,Residential,Condo,Unknown,Unknown
2021-05-04,2020,Norwalk,238 ROWAYTON AVE,461440.0,805000.0,0.5732,Residential,Single Family,Unknown,Unknown
2021-06-08,2020,Norwalk,163 MAIN ST,839080.0,1225000.0,0.6849,Commercial,Unknown,Unknown,Unknown
2021-06-18,2020,Norwalk,2 CORNWALL RD,302270.0,587500.0,0.514502128,Residential,Single Family,Unknown,Unknown
2021-09-01,2020,Norwalk,2 SOUTH MAIN ST UNIT W201,147600.0,235000.0,0.628,Residential,Condo,Unknown,Unknown
2020-11-04,2020,Norwalk,161 SILVERMINE AVE,384990.0,600000.0,0.6416,Residential,Single Family,Unknown,Unknown
2020-12-09,2020,Norwalk,62 GLENROCK,217540.0,330000.0,0.6592,Residential,Condo,Unknown,Unknown
2020-12-11,2020,Norwalk,11 BEDFORD AVE UNIT J1,109310.0,178000.0,0.6141,Residential,Condo,Unknown,Unknown
2021-01-20,2020,Norwich,303 MOHEGAN PARK RD #133,1100.0,2110040.0,0.000521317,Vacant Land,Unknown,Unknown,Unknown
2021-01-20,2020,Norwich,303 MOHEGAN PARK RD #42,1100.0,2110040.0,0.0005,Vacant Land,Unknown,Unknown,Unknown
2021-03-02,2020,Norwich,38 HOOPER ST #6,84400.0,136500.0,0.6183,Residential,Condo,Unknown,Unknown
2021-04-16,2020,Norwich,45 WEBER FARM RD,203700.0,335000.0,0.608,Residential,Single Family,Unknown,Unknown
2021-06-15,2020,Norwich,146 BROMLEY ST,21000.0,25000.0,0.84,Vacant Land,Unknown,Unknown,Unknown
2020-10-29,2020,Norwich,21 HUNTINGTON PL,133900.0,215000.0,0.6227,Residential,Two Family,Unknown,Unknown
2021-04-01,2020,Old Lyme,146-1 BOSTON POST RD,124700.0,220000.0,0.5668,Residential,Single Family,Unknown,Unknown
2021-08-30,2020,Old Lyme,34-5 POND RD,416000.0,660000.0,0.6303,Residential,Condo,Unknown,Unknown
2021-02-23,2020,Old Saybrook,514 MAIN ST,742600.0,1275000.0,0.5824,Residential,Single Family,Unknown,Unknown
2021-05-28,2020,Old Saybrook,175 FERRY RD UNIT 9,246500.0,490000.0,0.503,Residential,Condo,Unknown,Unknown
2020-12-23,2020,Old Saybrook,380 MAIN ST,323500.0,825000.0,0.3921,Residential,Single Family,Unknown,Unknown
2021-06-14,2020,Orange,605 DOGWOOD RD,283200.0,500000.0,0.5664,Residential,Single Family,Unknown,Unknown
2021-07-13,2020,Orange,436 WILDWOOD DR,240300.0,385000.0,0.6241,Residential,Single Family,Unknown,Unknown
2021-07-13,2020,Plainfield,0 HIGHLAND ST,10390.0,17000.0,0.611176471,Vacant Land,Unknown,Unknown,Unknown
2020-12-03,2020,Plainfield,219 SPAULDING RD,153660.0,290000.0,0.529862069,Residential,Single Family,Unknown,Unknown
2021-08-16,2020,Plainville,492 EAST ST B-36,41090.0,89900.0,0.457,Residential,Condo,Unknown,Unknown
2020-12-23,2020,Plainville,111 WEST MAIN ST,53970.0,75000.0,0.7196,Commercial,Unknown,Unknown,Unknown
2021-01-28,2020,Plymouth,325 MAIN ST,596470.0,833111.0,0.7159,Commercial,Unknown,Unknown,Unknown
2020-10-16,2020,Portland,9 CULVER LN,56420.0,56400.0,1.0003,Vacant Land,Unknown,Unknown,Unknown
2021-02-19,2020,Preston,98 COOKTOWN RD,48700.0,65000.0,0.7492,Vacant Land,Unknown,Unknown,Unknown
2021-07-16,2020,Putnam,110 POMFRET ST,95100.0,175000.0,0.5434,Residential,Three Family,Unknown,Unknown
2021-01-22,2020,Rocky Hill,39 STEVENS PLACE,108360.0,178000.0,0.6087,Residential,Condo,Unknown,Unknown
2021-06-10,2020,Rocky Hill,402 THE MEWS,120890.0,234900.0,0.5146,Residential,Condo,Unknown,Unknown
2021-07-01,2020,Rocky Hill,302 BRIARWOOD COURT,110810.0,185000.0,0.5989,Residential,Condo,Unknown,Unknown
2020-10-22,2020,Rocky Hill,59 HIGHCREST DRIVE,128870.0,193000.0,0.6677,Residential,Condo,Unknown,Unknown
2020-10-21,2020,Salem,109 MUSIC VALE RD,150600.0,230000.0,0.6547,Residential,Single Family,-72.26393,41.48326
2021-02-17,2020,Sharon,LAMBERT RD,311000.0,415000.0,0.7493,Vacant Land,Unknown,Unknown,Unknown
2021-09-20,2020,Shelton,176-178 HOWE AVE,156380.0,400000.0,0.3909,Residential,Two Family,Unknown,Unknown
2020-10-29,2020,Shelton,27 ROULEAU LA,254560.0,500500.0,0.5086,Residential,Single Family,Unknown,Unknown
2021-02-25,2020,Shelton,197 BEARDSLEY RD,132440.0,875000.0,0.1513,Vacant Land,Unknown,Unknown,Unknown
2021-04-07,2020,Shelton,63 GREYSTONE ON THE LAKE,242410.0,399901.0,0.6061,Residential,Condo,Unknown,Unknown
2020-11-18,2020,Simsbury,7 TIMBER RIDGE DRIVE,228250.0,350000.0,0.6521,Residential,Single Family,Unknown,Unknown
2020-10-05,2020,Southbury,996 A HERITAGE VILLAGE,94840.0,175000.0,0.5419,Residential,Condo,Unknown,Unknown
2021-03-05,2020,South Windsor,70 RONDA DR,136600.0,310000.0,0.4406,Residential,Single Family,Unknown,Unknown
2021-05-10,2020,South Windsor,69 OAKLAND RD,294800.0,725000.0,0.4066,Commercial,Unknown,Unknown,Unknown
2021-06-09,2020,South Windsor,107 TROY RD,162400.0,325000.0,0.4996,Residential,Single Family,Unknown,Unknown
2021-06-10,2020,Stamford,49 GLENBROOK ROAD #302,151670.0,275000.0,0.5515,Residential,Condo,Unknown,Unknown
